norm_addr,raw_addr,lon,lat,score,source,ts
강동구 천호동 145-66,강동구 천호동 145-66,,,0.0,kakao,2025-10-04 16:00:15.099172+00:00
강동구 천호동 166-4,강동구 천호동 166-4,,,0.0,kakao,2025-10-04 16:00:16.144180+00:00
강동구 천호동 19-1,강동구 천호동 19-1,,,0.0,kakao,2025-10-04 15:59:47.814676+00:00
강동구 천호동 221번지,강동구 천호동 221번지,,,0.0,kakao,2025-10-04 16:00:06.662290+00:00
강동구 천호동 225-16,강동구 천호동 225-16,,,0.0,kakao,2025-10-04 16:00:11.935472+00:00
강동구 천호동 28-32,강동구 천호동 28-32,,,0.0,kakao,2025-10-04 16:00:23.844812+00:00
강동구 천호동 337-30,강동구 천호동 337-30,,,0.0,kakao,2025-10-04 16:00:10.885169+00:00
강동구 천호동 397-419,강동구 천호동 397-419,,,0.0,kakao,2025-10-04 16:00:09.828491+00:00
강동구 천호동 410-100번지 일원,강동구 천호동 410-100번지 일원,,,0.0,kakao,2025-10-04 16:00:02.449037+00:00
강동구 천호동 423-200,강동구 천호동 423-200 ,,,0.0,kakao,2025-10-04 15:59:41.379753+00:00
강동구 천호동 423-76,강동구 천호동 423-76,,,0.0,kakao,2025-10-04 16:00:03.501879+00:00
강동구 천호동 437-5번지,강동구 천호동 437-5번지,,,0.0,kakao,2025-10-04 15:59:55.949991+00:00
강동구 천호동 461-31,강동구 천호동 461-31,,,0.0,kakao,2025-10-04 16:00:14.045976+00:00
강동구 천호동 467-61,강동구 천호동 467-61,,,0.0,kakao,2025-10-04 15:59:36.117125+00:00
강동구 천호동 532-2,강동구 천호동 532-2,,,0.0,kakao,2025-10-04 16:00:17.196990+00:00
강북구 미아동 1261번지,강북구 미아동 1261번지,,,0.0,kakao,2025-10-04 16:15:07.536023+00:00
강북구 미아동 137-72,강북구 미아동 137-72,,,0.0,kakao,2025-10-04 16:12:14.332537+00:00
강북구 미아동 3-111번지,강북구 미아동 3-111번지,,,0.0,kakao,2025-10-04 16:17:35.400945+00:00
강북구 미아동 403번지,강북구 미아동 403번지,,,0.0,kakao,2025-10-04 16:12:02.763296+00:00
강북구 미아동 42-8번지,강북구 미아동 42-8번지,,,0.0,kakao,2025-10-04 16:22:28.600580+00:00
강북구 미아동 439번지 일대,강북구 미아동 439번지 일대,,,0.0,kakao,2025-10-04 16:14:56.826153+00:00
강북구 미아동 45-32,강북구 미아동 45-32,,,0.0,kakao,2025-10-04 16:21:04.060900+00:00
강북구 미아동 45-32번지,강북구 미아동 45-32번지,,,0.0,kakao,2025-10-04 16:21:57.107032+00:00
강북구 미아동 476-0,강북구 미아동 476-0,,,0.0,kakao,2025-10-04 16:22:11.723162+00:00
강북구 미아동 61-79,강북구 미아동 61-79,,,0.0,kakao,2025-10-04 16:22:12.769804+00:00
강북구 미아동 767-51,강북구 미아동 767-51,,,0.0,kakao,2025-10-04 16:20:26.147063+00:00
강북구 미아동 791-108,강북구 미아동 791-108,,,0.0,kakao,2025-10-04 16:10:45.873102+00:00
강북구 미아동 791-364번지,강북구 미아동 791-364번지 ,,,0.0,kakao,2025-10-04 16:21:34.985530+00:00
강북구 미아동 8-373번지,강북구 미아동 8-373번지,,,0.0,kakao,2025-10-04 16:10:40.605133+00:00
강북구 미아동 833-2,강북구 미아동 833-2,,,0.0,kakao,2025-10-04 16:18:41.731066+00:00
강북구 미아동 90-45,강북구 미아동 90-45,,,0.0,kakao,2025-10-04 16:19:00.721865+00:00
강북구 번동 413-44,강북구 번동 413-44,,,0.0,kakao,2025-10-04 16:18:15.420857+00:00
강북구 번동 427-63,강북구 번동 427-63,,,0.0,kakao,2025-10-04 16:09:55.425107+00:00
강북구 번동 428-4,강북구 번동 428-4,,,0.0,kakao,2025-10-04 16:18:39.634732+00:00
강북구 번동 429-114번지,강북구 번동 429-114번지 ,,,0.0,kakao,2025-10-04 16:11:39.656491+00:00
강북구 번동 429-97,강북구 번동 429-97,,,0.0,kakao,2025-10-04 16:18:22.799298+00:00
강북구 번동 430-27,강북구 번동 430-27,,,0.0,kakao,2025-10-04 16:09:54.375185+00:00
강북구 번동 441-3,강북구 번동 441-3,,,0.0,kakao,2025-10-04 16:13:56.938763+00:00
강북구 번동 443-46,강북구 번동 443-46,,,0.0,kakao,2025-10-04 16:19:24.065077+00:00
강북구 번동 454-61,강북구 번동 454-61,,,0.0,kakao,2025-10-04 16:15:10.687122+00:00
강북구 번동 458-2,강북구 번동 458-2,,,0.0,kakao,2025-10-04 16:11:18.638471+00:00
강북구 번동 471-118,강북구 번동 471-118,,,0.0,kakao,2025-10-04 16:19:34.582525+00:00
강북구 수유동472-81번지일대,강북구 수유동472-81번지일대,,,0.0,kakao,2025-10-04 16:21:58.155149+00:00
"강북구송중동6,7,49번지","강북구송중동6,7,49번지",,,0.0,kakao,2025-10-04 16:22:54.929942+00:00
강서구 공항동 18번지,강서구 공항동 18번지,,,0.0,kakao,2025-10-04 16:16:52.215735+00:00
강서구 공항동 21-0,강서구 공항동 21-0,,,0.0,kakao,2025-10-04 16:18:10.162384+00:00
강서구 공항동 4-8,강서구 공항동 4-8,,,0.0,kakao,2025-10-04 16:09:27.087567+00:00
강서구 공항동 61-42,강서구 공항동 61-42,,,0.0,kakao,2025-10-04 16:18:09.107066+00:00
강서구 내발산동 716-20,강서구 내발산동 716-20,,,0.0,kakao,2025-10-04 16:22:42.416729+00:00
강서구 등촌1동 656-35 일원,강서구 등촌1동 656-35 일원,,,0.0,kakao,2025-10-04 16:12:29.031726+00:00
강서구 등촌동 365-0,강서구 등촌동 365-0,,,0.0,kakao,2025-10-04 16:20:52.485394+00:00
강서구 등촌동 366-24번지 및 강서구 등촌동 366-61번지,강서구 등촌동 366-24번지 및 강서구 등촌동 366-61번지,,,0.0,kakao,2025-10-04 16:12:25.868307+00:00
강서구 등촌동 515-44,강서구 등촌동 515-44,,,0.0,kakao,2025-10-04 16:21:36.036652+00:00
강서구 등촌동 649번지 외 7필지,강서구 등촌동 649번지 외 7필지,,,0.0,kakao,2025-10-04 16:21:21.279449+00:00
강서구 등촌동 651번지,강서구 등촌동 651번지,,,0.0,kakao,2025-10-04 16:21:48.664827+00:00
강서구 마곡동 327-53,강서구 마곡동 327-53,,,0.0,kakao,2025-10-04 16:19:53.517241+00:00
강서구 마곡동 327-53번지,강서구 마곡동 327-53번지,,,0.0,kakao,2025-10-04 16:16:22.683669+00:00
강서구 방화동 191-3,강서구 방화동 191-3,,,0.0,kakao,2025-10-04 16:22:09.617513+00:00
강서구 방화동 247-71,강서구 방화동 247-71,,,0.0,kakao,2025-10-04 16:15:11.734770+00:00
강서구 방화동 278-7번지,강서구 방화동 278-7번지,,,0.0,kakao,2025-10-04 16:13:46.821475+00:00
강서구 방화동 286-1,강서구 방화동 286-1,,,0.0,kakao,2025-10-04 16:19:41.937822+00:00
강서구 방화동 584-1,강서구 방화동 584-1,,,0.0,kakao,2025-10-04 16:21:20.228417+00:00
강서구 방화동 589-13,강서구 방화동 589-13,,,0.0,kakao,2025-10-04 16:11:29.151023+00:00
강서구 방화동 598-146,강서구 방화동 598-146,,,0.0,kakao,2025-10-04 16:11:55.418030+00:00
강서구 방화동 608-97,강서구 방화동 608-97,,,0.0,kakao,2025-10-04 16:16:00.583521+00:00
강서구 방화동 615-103,강서구 방화동 615-103,,,0.0,kakao,2025-10-04 16:17:44.880307+00:00
강서구 염창동 242-4외 6필지,강서구 염창동 242-4외 6필지,,,0.0,kakao,2025-10-04 16:22:15.929050+00:00
강서구 염창동 244-18번지외6필지,강서구 염창동 244-18번지외6필지,,,0.0,kakao,2025-10-04 16:22:21.218106+00:00
강서구 염창동 253-1,강서구 염창동 253-1,,,0.0,kakao,2025-10-04 16:19:25.115380+00:00
강서구 염창동 255-0,강서구 염창동 255-0,,,0.0,kakao,2025-10-04 16:19:31.426324+00:00
강서구 염창동 275-5번지,강서구 염창동 275-5번지 (등마루아파트),,,0.0,kakao,2025-10-04 16:11:06.037379+00:00
강서구 염창동 277-24번지 일대,강서구 염창동 277-24번지 일대,,,0.0,kakao,2025-10-04 16:13:14.185655+00:00
강서구 염창동 283번지,강서구 염창동 283번지,,,0.0,kakao,2025-10-04 16:13:15.315856+00:00
강서구 화곡동 1027-50,강서구 화곡동 1027-50,,,0.0,kakao,2025-10-04 16:13:42.626387+00:00
강서구 화곡동 1130-7,강서구 화곡동 1130-7,,,0.0,kakao,2025-10-04 16:18:35.425385+00:00
